,shapefile,Jdmax,Ddmax,Dprojcirc,projarea,mass,vDJ,vDD,vDproj
1047,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-1.33-rimeonly_120e-6-fvu5vnTx.agg,0.0021303917904498502,0.0020131567251458595,0.0019723653303511056,2.0944000000000002e-06,6.740587520000001e-07,2.389512719700128,2.3694220876003604,2.314638908741792
1048,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-3-0.95-rimeonly_120e-6-dLyDoohZ.agg,0.0020846805883555394,0.002003996007980056,0.0019505942040401313,2.1024000000000004e-06,6.861939200000002e-07,2.4230614691391836,2.39620640891778,2.3574283339504105
1049,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-5-2.65-rimeonly_120e-6-JXlXfJB1.agg,0.0067462450818753265,0.0065532892504451545,0.006385878968467129,2.1756800000000005e-05,2.1633897472000007e-05,5.1450627362738715,5.0838090447629725,5.015950679164856
1050,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-5.48-rimeonly_120e-6-OUx9jK8m.agg,0.007501981352807603,0.007303807226371737,0.007324511475472894,3.104000000000001e-05,3.4847922944000014e-05,5.665623379243962,5.673110269938122,5.602681994884415
1051,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-3-1.95-rimeonly_120e-6-1Lbuwhxv.agg,0.005415045249717448,0.005191069254016941,0.005329025788134706,1.5497600000000002e-05,9.631043840000003e-06,3.953975444478066,4.0013527781279645,3.9253124573265175
1052,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-0.84-rimeonly_120e-6-0h8ikaJp.agg,0.001880099013445483,0.0017144095193389474,0.0017280956855779898,1.7680000000000003e-06,4.779028480000001e-07,2.1631615869527385,2.1701121686373352,2.090635282268659
1053,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-3.36-rimeonly_120e-6-7TaNK2gN.agg,0.005626390797282181,0.005538375213002457,0.005141169091987522,1.4262400000000003e-05,1.2303829248000003e-05,4.6973537670327685,4.540140369308915,4.507480423513027
1054,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-2-0.1-rimeonly_120e-6-mstp6XLM.agg,0.0005800091448699825,0.0005336665625650534,0.0004906467560796706,1.4080000000000002e-07,1.0376448000000004e-08,0.6229485184427304,0.6087542487712783,0.594824257824077
1055,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-5-1.35-rimeonly_120e-6-UIUXFP22.agg,0.003962286919774576,0.0038636770051338407,0.0038584971167541387,7.5968000000000015e-06,4.458472448000001e-06,3.641370843230816,3.6391969615773805,3.598583367420739
1056,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-4-0.5-rimeonly_120e-6-EJQw0JWk.agg,0.003952099004281222,0.0038385413896426857,0.0037947588917115623,3.6528000000000004e-06,1.8576773120000007e-06,2.759873043297186,2.74605290947255,2.7112158329294394
1057,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-5-4.18-rimeonly_120e-6-ng8XPo70.agg,0.007531802296506251,0.007150496486258839,0.007298212235042632,2.8400000000000006e-05,3.160044646400001e-05,5.515740012445461,5.568544906692806,5.4353210880183
1058,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-1.18-rimeonly_120e-6-oAnBMphm.agg,0.00174311717258136,0.0016728418933061187,0.0016393559711057268,1.5616000000000002e-06,4.5527398400000013e-07,2.2275785190510797,2.209505835653463,2.1731134228568543
1059,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-5-0.05-rimeonly_120e-6-E4myEt20.agg,0.0026148798007078057,0.002553115743557272,0.002471711404988697,6.672000000000002e-07,1.0927513600000003e-07,1.033394366150987,1.0204737864911775,1.0110281417144686
1060,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-3.95-rimeonly_120e-6-4NtkJVfC.agg,0.0067756308518110275,0.006587503320682276,0.006325820104935011,2.2121600000000005e-05,2.0569813248000005e-05,5.006920929673843,4.913978729251912,4.850388631817461
1061,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-1.27-rimeonly_120e-6-T3eTndgP.agg,0.002104800748909151,0.002062619693496598,0.0019734234213670417,1.9904000000000005e-06,6.478538240000002e-07,2.369142993247195,2.326339656609727,2.3069656978469957
1062,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-0.13-rimeonly_120e-6-vpAWBlnI.agg,0.0007034698679489575,0.0006633249580710801,0.0006324555320336759,1.9840000000000003e-07,1.4362880000000004e-08,0.647691947708007,0.6387602583159633,0.627832344346677
1063,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-0.05-rimeonly_120e-6-9B34pvop.agg,0.0002833105012119288,0.00024331050121192879,0.00024331050121192879,1.7600000000000002e-08,7.621120000000002e-10,0.21283002575103963,0.21283002575103963,0.2074409017370985
1064,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-3-4.45-rimeonly_120e-6-xLWFBUVg.agg,0.008048052611665673,0.007750819311530878,0.007292418894667175,3.122880000000001e-05,4.081561164800001e-05,6.166185358456794,5.992742024958354,5.888035893682063
1065,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-0.01-rimeonly_120e-6-NQV5P3zQ.agg,0.0004400000000000003,0.0004156921938165306,0.0004079215610874228,4.4800000000000004e-08,2.4035840000000005e-09,0.3337377095935966,0.33233981588349126,0.32813129900862953
1066,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-3.09-rimeonly_120e-6-aGpux6N8.agg,0.004079779724153545,0.003937511904743909,0.0037957988148292696,8.950400000000002e-06,5.830449920000002e-06,4.066710158810272,4.000531781245948,3.9374095872730326
1067,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-5-1.55-rimeonly_120e-6-40Upczpx.agg,0.003896479989775444,0.0037896701703446435,0.0037559364730216575,7.979200000000001e-06,4.320178432000001e-06,3.5722503804511665,3.5580952493280886,3.514425807965047
1068,/work/shape_files_jussi/rimeonly_120e-6/dendrite-650e-6-1-3.34-rimeonly_120e-6-SzAlGpS5.agg,0.005476648436081219,0.005423061865772878,0.005420979748401786,1.3913600000000002e-05,9.643882496000002e-06,4.043324645755784,4.042618107054549,4.024566690164902
