,shapefile,Jdmax,Ddmax,Dprojcirc,projarea,mass,vDJ,vDD,vDproj
0,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-28-0.5-subsequent-gyTMWrLP.agg,0.0062269760331040095,0.005927157834915484,0.005926667182974849,1.2452800000000002e-05,3.967086080000002e-06,2.458081092227429,2.4579903372239875,2.4044457572967493
1,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-70-0.5-subsequent-Jgngl9pZ.agg,0.008767430814385545,0.008719082520540794,0.00871678839940491,2.0238400000000003e-05,7.770845696000002e-06,2.614623072556993,2.6143094329261043,2.6077268842878523
2,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-224-0.5-subsequent-VY03xk6D.agg,0.012056525403644793,0.012016388808622998,0.01165928598574706,4.510720000000001e-05,1.6898250752000005e-05,2.8034975910921305,2.7646314785410393,2.760367306422715
3,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-31-0.5-subsequent-gAJYJ6nd.agg,0.00439298619290069,0.004261267417095529,0.0041877074318040965,7.2240000000000015e-06,2.1226577920000006e-06,2.3518527875440034,2.334066286705643,2.303267273183637
4,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-485-0.5-subsequent-fEAUjOsF.agg,0.0164379510915236,0.0163979510915236,0.016393998902037295,8.871200000000001e-05,3.599595673600001e-05,2.990163661032322,2.9898256086799053,2.9864108377784344
5,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-217-0.5-subsequent-yYDIXpd2.agg,0.014707956518511306,0.014664896862917245,0.014664678653144775,5.3252800000000006e-05,1.7225020928000007e-05,2.4359453592026057,2.4359285366809957,2.432615984383113
6,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-483-0.5-subsequent-6gDLS4PQ.agg,0.02589386624859037,0.025853866248590367,0.025816279968649866,0.00010632800000000002,4.150467814400001e-05,2.481628163405426,2.479922059991679,2.4781103623584055
7,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-168-0.5-subsequent-7si5eaUe.agg,0.010850123600275612,0.010740651749312052,0.010628264204469138,4.0520000000000005e-05,1.4637298944000004e-05,2.787565999151464,2.7740834663199023,2.7611446045681824
8,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-424-0.5-subsequent-AedEWS6O.agg,0.017291581945831254,0.017232388110763986,0.01711724276862369,9.582560000000001e-05,3.443186841600001e-05,2.8038908824726545,2.795092853941082,2.7906031215067126
9,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-29-0.5-subsequent-U1P0YPWB.agg,0.0058430630554416945,0.005735642945651343,0.005730619512757762,1.3291200000000002e-05,4.342690048000001e-06,2.5765399377327602,2.5755325024217584,2.554284454170777
10,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-524-0.5-subsequent-e42XJY3r.agg,0.01788181914885426,0.01704699386988803,0.01639875138757384,9.704320000000001e-05,4.007407667200001e-05,3.0904953770865053,3.034731475555608,2.967299320753448
11,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-421-0.5-subsequent-v8lZOhwY.agg,0.018544869326612683,0.01804088689615896,0.01812854877310398,8.912000000000001e-05,3.168369254400001e-05,2.6622755203395596,2.6683321496696375,2.6340818362022502
12,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-98-0.5-subsequent-xiZjJj5O.agg,0.009975720557849534,0.00992540175509284,0.009845526903116969,3.4923200000000005e-05,1.1303234816000003e-05,2.6137899666389157,2.604128796600769,2.598099664208063
13,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-635-0.5-subsequent-B9rhAn4Z.agg,0.02311278916819551,0.02307278916819551,0.02303725678113608,0.00014073280000000002,5.041898496000001e-05,2.695065415896956,2.6931043418176883,2.6909019556686076
14,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-49-0.5-subsequent-mwXwDVPM.agg,0.007581721837836756,0.007453536073569377,0.007438072880175715,1.4020800000000003e-05,5.056554496000001e-06,2.4560694576910107,2.4537689620753573,2.4349567234401057
15,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-707-0.5-subsequent-Dq9HO7J8.agg,0.02231452085407564,0.022002108989821866,0.022003948619971164,0.00012791520000000003,4.446143820800001e-05,2.642918782993418,2.643022957087802,2.625511534785971
16,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-617-0.5-subsequent-k4Sglw4X.agg,0.01989949615107956,0.01981441899223896,0.019743353311937665,0.00011033600000000002,4.4281286656000015e-05,2.886108966157314,2.881227153241261,2.875416250590032
17,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-558-0.5-subsequent-vjEdWQHW.agg,0.02087262584347768,0.020813303437945647,0.020811060053556155,0.00013173760000000003,4.9049528320000017e-05,2.8356908064782176,2.835546649669669,2.8317428665656537
18,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-177-0.5-subsequent-eGkqe6me.agg,0.013663389859123982,0.013469372665421357,0.013468838108760534,4.355040000000001e-05,1.5579445248000003e-05,2.534166524521275,2.5341199234660885,2.5173803967496053
19,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-538-0.5-subsequent-Q9n5brhi.agg,0.019478953530613595,0.01943884770247455,0.018990271193429546,9.700960000000002e-05,4.077199539200001e-05,2.9112786086441256,2.8794522026308,2.876658782208957
20,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-268-0.5-subsequent-pIXZu1Mb.agg,0.015145939352794182,0.014475468904322237,0.014259702290349539,6.824320000000002e-05,2.3699220992000007e-05,2.73940770385126,2.7203180130590385,2.6635353520986254
21,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-343-0.5-subsequent-UZs2OvOs.agg,0.01776179795325951,0.017647436074399024,0.017497297017945987,7.777280000000002e-05,3.008964736000001e-05,2.7306690998143304,2.7197556528172036,2.7115328660503284
22,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-45-0.5-subsequent-gIHbmiR2.agg,0.008641581249979565,0.008601581249979565,0.00859925578175228,1.55728e-05,5.086863104000001e-06,2.242344079771246,2.242069806665047,2.237368574002721
23,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-4-0.5-subsequent-TrxBkSgS.agg,0.003486969683649684,0.003446969683649684,0.0029938686263643794,4.886400000000001e-06,1.2173859840000002e-06,2.2123206782354887,2.083650389637536,2.0734207577831905
24,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-7-0.5-subsequent-iGG7Bied.agg,0.0024657556668767782,0.002327917524312234,0.0022678730423914277,2.4064000000000004e-06,6.064066560000002e-07,2.0351082640906633,2.0133274820868614,1.9660983079962127
25,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-666-0.5-subsequent-ZH319t4D.agg,0.022008175808031816,0.021955737291195668,0.02166793021956643,0.0001366368,5.337457254400002e-05,2.881234838178632,2.8633300880286647,2.86010466197661
26,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-272-0.5-subsequent-7nlpTtNI.agg,0.013650312175962106,0.013607644910123135,0.013594410616131912,5.851520000000001e-05,2.0635472128000007e-05,2.7102721651629436,2.7090471174935136,2.7051092724704353
27,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-24-0.5-subsequent-wVKyXsXK.agg,0.00417997390626884,0.004126596660687837,0.004110863656216295,7.440000000000002e-06,2.2740249600000005e-06,2.444439597801387,2.4403679891991175,2.4267146987441017
28,/work/shape_files_jussi/subsequent-0.5/dendrite-650e-6-387-0.5-subsequent-KdpPLFTM.agg,0.02388526787436031,0.023845267874360313,0.023754376438879638,0.00010547520000000002,3.950536524800001e-05,2.520094770678639,2.515557818841971,2.513569148255481
