,shapefile,Jdmax,Ddmax,Dprojcirc,projarea,mass,vDJ,vDD,vDproj
462,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1114-Uh3CfoaN.agg,0.019383993396614643,0.019383993396614643,0.019373425097282102,5.446240000000001e-05,8.340201984000002e-06,1.1755253788467932,1.1750350982247437,1.1750350982247437
463,/work/shape_files_jussi/needle-650e-6/needle-650e-6-157-b8Y77hEC.agg,0.008265784899209512,0.008265784899209512,0.007984985911070852,8.624e-06,1.2071854080000003e-06,1.021511924647113,0.9966555808498614,0.9966555808498614
464,/work/shape_files_jussi/needle-650e-6/needle-650e-6-157-GyTrVZmF.agg,0.007784394645699819,0.007784394645699819,0.007769581713322798,7.0896000000000015e-06,9.252625920000003e-07,0.9189062589422652,0.9176645837832846,0.9176645837832846
465,/work/shape_files_jussi/needle-650e-6/needle-650e-6-248-tnc0bRZL.agg,0.009133586371190673,0.009133586371190673,0.009598261339867095,1.3275200000000003e-05,1.6706667520000005e-06,1.0137994567233495,1.0504914995989365,1.0504914995989365
466,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1577-6OcUvZsS.agg,0.025882194651922392,0.025882194651922392,0.02573887332421526,6.599840000000002e-05,1.0680589312000003e-05,1.033447259936812,1.028984924175546,1.028984924175546
467,/work/shape_files_jussi/needle-650e-6/needle-650e-6-47-YtC3al2q.agg,0.0045491098030274015,0.0045491098030274015,0.004497999555357915,2.8208000000000006e-06,3.787110400000001e-07,0.9126183078922171,0.9054408119705151,0.9054408119705151
468,/work/shape_files_jussi/needle-650e-6/needle-650e-6-40-czyleDG6.agg,0.0037959978925178554,0.0037959978925178554,0.0037957871383943543,2.0496000000000002e-06,2.1591219200000007e-07,0.7653604024493857,0.7653310274352324,0.7653310274352324
469,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1888-g9NkHUHE.agg,0.021426936318568738,0.021426936318568738,0.021378793230676048,7.817440000000002e-05,1.3285722624000005e-05,1.2904672231916077,1.288200453742585,1.288200453742585
470,/work/shape_files_jussi/needle-650e-6/needle-650e-6-3-J7GmS8OX.agg,0.0007483314773547884,0.0007483314773547884,0.0007440430095095311,1.0080000000000002e-07,5.862400000000002e-09,0.3238283740116302,0.32266279870827885,0.32266279870827885
471,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1710-jHeYohRL.agg,0.02093708671233895,0.02093708671233895,0.018791700295609233,7.310720000000002e-05,1.1937370624000004e-05,1.3712091137650686,1.2606328354915373,1.2606328354915373
472,/work/shape_files_jussi/needle-650e-6/needle-650e-6-73-SHkezcOf.agg,0.006296538731716021,0.006296538731716021,0.0062032249677083295,3.9072000000000005e-06,5.199362560000001e-07,0.8385185613274363,0.8297551783822474,0.8297551783822474
473,/work/shape_files_jussi/needle-650e-6/needle-650e-6-5-tm1ZEH2t.agg,0.0016923356641044946,0.0016923356641044946,0.001697369996872886,3.6800000000000007e-07,3.476403200000001e-08,0.5358021036252308,0.5368565661710187,0.5368565661710187
474,/work/shape_files_jussi/needle-650e-6/needle-650e-6-18-gzYISTAX.agg,0.0037710475998056566,0.0037710475998056566,0.0037508536631756842,1.7616000000000002e-06,2.633976320000001e-07,0.8924413506464675,0.8891198342636669,0.8891198342636669
475,/work/shape_files_jussi/needle-650e-6/needle-650e-6-7-PcJ0bBaf.agg,0.001012719112093773,0.001012719112093773,0.0009732420048477151,2.0160000000000003e-07,1.6590592000000002e-08,0.5125977901204531,0.49959967214128803,0.49959967214128803
476,/work/shape_files_jussi/needle-650e-6/needle-650e-6-714-exxhCVGj.agg,0.014111215397689883,0.014111215397689883,0.013555051298837308,3.19616e-05,4.965804544000002e-06,1.2699728067377893,1.2327254269405736,1.2327254269405736
477,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1756-gXHLkoQY.agg,0.02137018483775936,0.02137018483775936,0.021172418629746694,6.685120000000001e-05,1.1310152448000003e-05,1.2323166828083674,1.2234365525637827,1.2234365525637827
478,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1650-OfGdsAwH.agg,0.02254485307115573,0.02254485307115573,0.02236093765912731,6.927360000000001e-05,1.0999152128000004e-05,1.1619113032393305,1.1545347786696993,1.1545347786696993
479,/work/shape_files_jussi/needle-650e-6/needle-650e-6-435-4T5W4bsO.agg,0.011786568627043243,0.011786568627043243,0.011474410621510217,2.4404800000000004e-05,3.2175782400000006e-06,1.1798016821431463,1.157000452420517,1.157000452420517
480,/work/shape_files_jussi/needle-650e-6/needle-650e-6-1239-Xel6VNUK.agg,0.015803442662913676,0.015803442662913676,0.01508188226697343,4.940640000000001e-05,8.704726016000003e-06,1.4691150201652845,1.4176733825907504,1.4176733825907504
481,/work/shape_files_jussi/needle-650e-6/needle-650e-6-192-a4ApWRUj.agg,0.007604104154994197,0.007604104154994197,0.007596710118527235,1.0249600000000001e-05,1.4348224000000004e-06,1.14012983331249,1.1393382230189024,1.1393382230189024
482,/work/shape_files_jussi/needle-650e-6/needle-650e-6-101-Tipp9psZ.agg,0.005415385489510419,0.005415385489510419,0.005456761890915356,5.481600000000001e-06,6.816798720000002e-07,1.0245983880934149,1.0301114206798532,1.0301114206798532
483,/work/shape_files_jussi/needle-650e-6/needle-650e-6-958-6apwJIIA.agg,0.020388428090463474,0.020388428090463474,0.02027984220845912,4.596160000000001e-05,6.665841920000002e-06,1.0409259436745442,1.0367247668481714,1.0367247668481714
484,/work/shape_files_jussi/needle-650e-6/needle-650e-6-247-vQvcZ9fH.agg,0.010015667726117916,0.010015667726117916,0.010036034226912493,1.3278400000000001e-05,1.7617098240000007e-06,1.0117716244679171,1.013247757411431,1.013247757411431
485,/work/shape_files_jussi/needle-650e-6/needle-650e-6-883-xTCsZmFp.agg,0.016707842469930102,0.016707842469930102,0.016065117491011388,3.856800000000001e-05,6.385267456000002e-06,1.2414898528935487,1.2053878424228552,1.2053878424228552
486,/work/shape_files_jussi/needle-650e-6/needle-650e-6-40-8yabHjKr.agg,0.0035509998591945905,0.0035509998591945905,0.003512914666927253,2.6064000000000006e-06,3.441228800000001e-07,1.0356136412450359,1.0278674193323487,1.0278674193323487
487,/work/shape_files_jussi/needle-650e-6/needle-650e-6-591-H3Tb6ZQa.agg,0.01288720295486961,0.01288720295486961,0.012724590366687645,2.8180800000000003e-05,4.423063552000001e-06,1.2731277502466454,1.2612833367556182,1.2612833367556182
